Unnamed: 0.1,Unnamed: 0,id,game,team_name,week,date,hour,duration,winner,mvp
109,1,https://ph-mpl.com/data/match/echo-onic-20220311,game3,ECHO,4,2022-03-11,20:00:00,17:52,0,Kairi.
110,0,https://ph-mpl.com/data/match/nxpe-tnc-20220312,game1,NXPE,4,2022-03-12,16:00:00,11:03,1,YellyHaze
111,1,https://ph-mpl.com/data/match/nxpe-tnc-20220312,game1,TNC,4,2022-03-12,16:00:00,11:03,0,YellyHaze
112,0,https://ph-mpl.com/data/match/nxpe-tnc-20220312,game2,TNC,4,2022-03-12,16:00:00,13:19,1,SDzyz
113,1,https://ph-mpl.com/data/match/nxpe-tnc-20220312,game2,NXPE,4,2022-03-12,16:00:00,13:19,0,SDzyz
114,0,https://ph-mpl.com/data/match/nxpe-tnc-20220312,game3,TNC,4,2022-03-12,16:00:00,20:40,0,CADENZA
115,1,https://ph-mpl.com/data/match/nxpe-tnc-20220312,game3,NXPE,4,2022-03-12,16:00:00,20:40,1,CADENZA
116,0,https://ph-mpl.com/data/match/blck-omg-20220312,game1,BLCK,4,2022-03-12,18:00:00,19:59,1,OHEB
117,1,https://ph-mpl.com/data/match/blck-omg-20220312,game1,OMG,4,2022-03-12,18:00:00,19:59,0,OHEB
118,0,https://ph-mpl.com/data/match/blck-omg-20220312,game2,OMG,4,2022-03-12,18:00:00,18:20,1,Kelra
119,1,https://ph-mpl.com/data/match/blck-omg-20220312,game2,BLCK,4,2022-03-12,18:00:00,18:20,0,Kelra
120,0,https://ph-mpl.com/data/match/blck-omg-20220312,game3,OMG,4,2022-03-12,18:00:00,15:49,1,Kelra
121,1,https://ph-mpl.com/data/match/blck-omg-20220312,game3,BLCK,4,2022-03-12,18:00:00,15:49,0,Kelra
122,0,https://ph-mpl.com/data/match/rsg-onic-20220312,game1,RSG,4,2022-03-12,20:00:00,20:42,1,Nathz
123,1,https://ph-mpl.com/data/match/rsg-onic-20220312,game1,ONIC,4,2022-03-12,20:00:00,20:42,0,Nathz
124,0,https://ph-mpl.com/data/match/rsg-onic-20220312,game2,RSG,4,2022-03-12,20:00:00,17:09,0,Hatred
125,1,https://ph-mpl.com/data/match/rsg-onic-20220312,game2,ONIC,4,2022-03-12,20:00:00,17:09,1,Hatred
126,0,https://ph-mpl.com/data/match/rsg-onic-20220312,game3,RSG,4,2022-03-12,20:00:00,14:40,1,Demonkite
127,1,https://ph-mpl.com/data/match/rsg-onic-20220312,game3,ONIC,4,2022-03-12,20:00:00,14:40,0,Demonkite
128,0,https://ph-mpl.com/data/match/bren-tnc-20220313,game1,BREN,4,2022-03-13,18:00:00,25:24,0,Escalera
129,1,https://ph-mpl.com/data/match/bren-tnc-20220313,game1,TNC,4,2022-03-13,18:00:00,25:24,1,Escalera
130,0,https://ph-mpl.com/data/match/bren-tnc-20220313,game2,BREN,4,2022-03-13,18:00:00,17:37,0,Escalera
131,1,https://ph-mpl.com/data/match/bren-tnc-20220313,game2,TNC,4,2022-03-13,18:00:00,17:37,1,Escalera
132,0,https://ph-mpl.com/data/match/blck-onic-20220318,game1,ONIC,5,2022-03-18,18:00:00,18:36,1,Kairi.
133,1,https://ph-mpl.com/data/match/blck-onic-20220318,game1,BLCK,5,2022-03-18,18:00:00,18:36,0,Kairi.
134,0,https://ph-mpl.com/data/match/blck-onic-20220318,game2,BLCK,5,2022-03-18,18:00:00,16:10,1,DEX STAR
