Unnamed: 0,id,game,team_name,total_kills,total_assists,total_deaths,total_gold,gold_min,total_damage,damage_min,red_buff,blue_buff,lord_kill,tortoise_kill,tower_destroy
1,https://ph-mpl.com/data/match/nxpe-tnc-20220409,game1,TNC,10,31,4,"49,321","3,336","147,707","9,991",8,9,2,2,9
0,https://ph-mpl.com/data/match/nxpe-tnc-20220409,game2,TNC,8,19,5,"49,498","3,386","133,423","9,128",9,10,2,3,9
1,https://ph-mpl.com/data/match/nxpe-tnc-20220409,game2,NXPE,5,6,8,"40,245","2,753","84,182","5,759",5,5,0,0,2
0,https://ph-mpl.com/data/match/omg-echo-20220220,game1,ECHO,19,44,3,"51,293","3,404","177,993","11,813",7,10,2,3,9
1,https://ph-mpl.com/data/match/omg-echo-20220220,game1,OMG,3,9,19,"40,939","2,717","124,182","8,242",5,5,0,0,1
0,https://ph-mpl.com/data/match/omg-echo-20220220,game2,ECHO,13,21,1,"36,733","3,601","108,625","10,649",6,8,1,3,6
1,https://ph-mpl.com/data/match/omg-echo-20220220,game2,OMG,1,3,13,"25,071","2,457","52,586","5,155",3,3,0,0,0
0,https://ph-mpl.com/data/match/omg-echo-20220320,game1,OMG,14,26,19,"85,708","3,039","395,774","14,034",13,11,2,3,6
1,https://ph-mpl.com/data/match/omg-echo-20220320,game1,ECHO,19,43,14,"85,747","3,040","343,386","12,176",15,19,4,0,9
0,https://ph-mpl.com/data/match/omg-echo-20220320,game2,ECHO,24,59,6,"51,185","3,416","201,893","13,474",7,11,2,3,8
1,https://ph-mpl.com/data/match/omg-echo-20220320,game2,OMG,6,15,24,"41,476","2,768","135,295","9,029",7,6,0,0,2
0,https://ph-mpl.com/data/match/omg-onic-20220430,game1,ONIC,10,21,13,"44,885","2,785","196,835","12,213",7,10,1,0,3
1,https://ph-mpl.com/data/match/omg-onic-20220430,game1,OMG,13,27,10,"52,858","3,279","184,641","11,456",9,8,1,3,7
0,https://ph-mpl.com/data/match/omg-onic-20220430,game2,ONIC,3,6,9,"39,564","2,697","113,737","7,754",7,7,0,3,3
1,https://ph-mpl.com/data/match/omg-onic-20220430,game2,OMG,9,22,3,"46,274","3,155","124,127","8,463",8,9,2,0,8
0,https://ph-mpl.com/data/match/omg-onic-20220430,game3,ONIC,9,24,17,"35,219","2,702","112,175","8,606",4,6,0,1,0
1,https://ph-mpl.com/data/match/omg-onic-20220430,game3,OMG,17,30,9,"46,208","3,545","153,607","11,785",8,7,1,2,9
0,https://ph-mpl.com/data/match/omg-rsg-20220226,game1,RSG,17,37,6,"63,630","3,081","247,013","11,961",11,15,3,2,8
1,https://ph-mpl.com/data/match/omg-rsg-20220226,game1,OMG,6,10,17,"54,610","2,644","164,272","7,955",7,7,0,1,3
0,https://ph-mpl.com/data/match/omg-rsg-20220226,game2,RSG,15,33,9,"50,142","3,140","175,044","10,963",6,9,1,3,7
1,https://ph-mpl.com/data/match/omg-rsg-20220226,game2,OMG,9,17,15,"43,757","2,740","171,869","10,764",7,9,1,0,5
0,https://ph-mpl.com/data/match/omg-rsg-20220326,game1,RSG,15,20,9,"91,759","3,189","395,410","13,745",17,17,4,3,9
1,https://ph-mpl.com/data/match/omg-rsg-20220326,game1,OMG,9,22,15,"83,832","2,914","268,712","9,341",11,14,1,0,7
0,https://ph-mpl.com/data/match/omg-rsg-20220326,game2,RSG,1,1,10,"41,010","2,429","90,376","5,352",7,5,0,0,0
1,https://ph-mpl.com/data/match/omg-rsg-20220326,game2,OMG,10,17,1,"58,179","3,445","159,881","9,469",9,14,3,3,9
0,https://ph-mpl.com/data/match/omg-rsg-20220326,game3,OMG,7,15,14,"43,394","2,598","144,680","8,663",5,5,0,0,2
1,https://ph-mpl.com/data/match/omg-rsg-20220326,game3,RSG,14,38,7,"52,353","3,134","162,836","9,750",11,13,2,3,7
0,https://ph-mpl.com/data/match/omg-tnc-20220218,game1,TNC,19,30,3,"52,380","3,294","171,027","10,756",10,9,2,3,7
